country,onset,rule,lead,lag,row_exists,in_exclusion,cc_full,cc_debt,orig,tile
Portugal,1873,"D2,D3",1872,1,True,False,False,True,,
Portugal,1873,"D2,D3",1871,2,True,False,False,True,,
Portugal,1873,"D2,D3",1870,3,True,False,False,True,,
Spain,1873,D1,1872,1,True,False,False,False,,
Spain,1873,D1,1871,2,True,False,False,False,,
Spain,1873,D1,1870,3,True,False,False,False,,
Spain,1882,D1,1881,1,True,False,False,True,,
Spain,1882,D1,1880,2,True,False,False,True,,
Spain,1882,D1,1879,3,True,False,False,False,,
Portugal,1890,D3,1889,1,True,False,True,True,,
Portugal,1890,D3,1888,2,True,False,True,True,,
Portugal,1890,D3,1887,3,True,False,True,True,,
France,1914,D3,1913,1,True,False,True,True,,
France,1914,D3,1912,2,True,False,True,True,,
France,1914,D3,1911,3,True,False,True,True,,
Italy,1915,D3,1914,1,True,False,True,True,,
Italy,1915,D3,1913,2,True,False,True,True,,
Italy,1915,D3,1912,3,True,False,True,True,,
Netherlands,1915,D3,1914,1,True,False,False,True,,
Netherlands,1915,D3,1913,2,True,False,True,True,,
Netherlands,1915,D3,1912,3,True,False,True,True,,
Portugal,1916,D2,1915,1,True,False,False,True,,
Portugal,1916,D2,1914,2,True,False,False,True,,
Portugal,1916,D2,1913,3,True,False,False,True,,
UK,1917,"D2,D3",1916,1,True,False,True,True,,
UK,1917,"D2,D3",1915,2,True,False,True,True,,
UK,1917,"D2,D3",1914,3,True,False,True,True,,
Portugal,1922,D2,1921,1,True,True,False,True,,
Portugal,1922,D2,1920,2,True,True,False,True,,
Portugal,1922,D2,1919,3,True,True,False,True,,
Belgium,1923,D3,1922,1,True,False,False,True,,
Belgium,1923,D3,1921,2,True,False,False,True,,
Belgium,1923,D3,1920,3,True,False,False,True,,
France,1924,D3,1923,1,True,False,True,True,,
France,1924,D3,1922,2,True,False,False,True,,
France,1924,D3,1921,3,True,False,False,True,,
Germany,1932,D1,1931,1,True,False,True,True,,
Germany,1932,D1,1930,2,True,False,True,True,,
Germany,1932,D1,1929,3,True,False,False,True,,
Spain,1936,D1,1935,1,True,False,False,True,,
Spain,1936,D1,1934,2,True,False,True,True,,
Spain,1936,D1,1933,3,True,False,True,True,,
France,1937,"D2,D3",1936,1,True,False,True,True,,
France,1937,"D2,D3",1935,2,True,False,True,True,,
France,1937,"D2,D3",1934,3,True,False,True,True,,
Belgium,1938,D3,1937,1,True,False,True,True,,
Belgium,1938,D3,1936,2,True,False,True,True,,
Belgium,1938,D3,1935,3,True,False,True,True,,
Netherlands,1939,D3,1938,1,True,False,True,True,,
Netherlands,1939,D3,1937,2,True,False,True,True,,
Netherlands,1939,D3,1936,3,True,False,True,True,,
Italy,1940,D1,1939,1,True,False,True,True,,
Italy,1940,D1,1938,2,True,False,True,True,,
Italy,1940,D1,1937,3,True,False,True,True,,
Japan,1942,D1,1941,1,True,False,False,True,,
Japan,1942,D1,1940,2,True,False,False,True,,
Japan,1942,D1,1939,3,True,False,False,True,,
Finland,1945,"D2,D3",1944,1,True,False,False,True,,
Finland,1945,"D2,D3",1943,2,True,False,False,True,,
Finland,1945,"D2,D3",1942,3,True,False,False,True,,
Spain,1947,"D2,D3",1946,1,True,False,False,True,,
